CustomerID,R,F,M
12665.0,1,1,1
12667.0,4,1,2
12668.0,4,3,4
12669.0,4,3,4
12670.0,4,3,4
12672.0,1,1,1
12673.0,1,2,2
12674.0,2,3,4
12676.0,3,4,3
12678.0,3,4,4
12679.0,4,3,3
12680.0,3,3,3
12681.0,4,4,4
12682.0,4,4,4
12683.0,4,4,4
12684.0,3,4,4
12685.0,3,4,4
12686.0,1,1,1
12688.0,2,1,4
12689.0,3,2,3
12690.0,1,1,2
12691.0,4,4,3
12693.0,4,3,3
12694.0,2,2,3
12695.0,2,3,2
12697.0,3,3,3
12700.0,2,3,4
12701.0,3,2,3
12702.0,4,1,1
12703.0,2,1,1
12704.0,3,4,4
12705.0,4,4,4
12707.0,1,1,2
12708.0,3,4,4
12709.0,4,4,4
12710.0,1,3,3
12712.0,4,4,4
12713.0,2,1,3
12714.0,4,3,4
12715.0,2,1,2
12716.0,2,2,3
12717.0,3,2,3
12718.0,2,1,1
12719.0,1,2,2
12720.0,4,4,4
12721.0,2,4,4
12722.0,4,3,3
12723.0,4,3,3
12724.0,3,3,3
12725.0,1,1,2
12726.0,3,4,4
12727.0,4,4,4
12728.0,3,3,3
12729.0,2,1,2
12731.0,3,4,4
12732.0,1,1,1
12733.0,1,1,2
12734.0,1,1,1
12735.0,1,2,3
12736.0,3,1,1
12738.0,1,1,1
12739.0,2,2,3
12740.0,2,1,2
12743.0,2,2,2
12744.0,3,4,4
12747.0,3,4,4
12748.0,4,4,4
12749.0,3,3,4
12750.0,1,1,1
12752.0,2,1,4
12753.0,3,4,4
12754.0,2,3,4
12755.0,1,2,4
12756.0,2,1,1
12757.0,4,4,4
12758.0,2,2,4
12759.0,3,3,3
12762.0,3,2,4
12763.0,2,2,2
12764.0,1,1,4
12766.0,3,4,4
12769.0,1,1,3
12770.0,1,1,3
12772.0,3,1,3
12775.0,4,3,3
12778.0,4,4,3
12779.0,1,4,4
12781.0,2,2,3
12782.0,2,3,4
12783.0,3,4,4
12784.0,4,2,2
12785.0,1,1,2
12787.0,4,3,2
12789.0,1,1,1
12790.0,1,1,2
12791.0,1,1,1
12792.0,1,1,2
12793.0,2,2,2
12794.0,3,2,3
12795.0,4,1,2
12797.0,1,1,1
12798.0,4,3,4
12802.0,1,1,2
12808.0,2,3,2
12809.0,1,1,2
12811.0,1,3,2
12812.0,3,1,1
12814.0,2,1,1
12815.0,2,2,3
12816.0,1,2,2
12817.0,1,1,1
12818.0,1,1,3
12820.0,3,3,3
12821.0,2,1,1
12822.0,2,2,3
12823.0,2,3,4
12824.0,3,1,2
12826.0,3,4,3
12827.0,3,3,2
12828.0,2,4,3
12829.0,1,2,1
12830.0,2,4,4
12831.0,1,1,1
12832.0,2,2,2
12833.0,2,1,2
12834.0,1,1,2
12836.0,3,3,4
12837.0,1,1,1
12838.0,1,2,3
12839.0,4,4,4
12840.0,2,3,4
12841.0,4,4,4
12842.0,2,2,3
12843.0,2,4,4
12844.0,3,2,2
12845.0,1,3,2
12847.0,3,1,3
12849.0,2,2,3
12851.0,1,1,1
12852.0,1,1,2
12853.0,2,4,4
12854.0,4,3,3
12855.0,1,1,1
12856.0,4,4,4
12857.0,2,2,3
12863.0,3,1,2
12864.0,2,1,1
12865.0,3,2,3
12866.0,1,1,2
12867.0,3,4,4
12868.0,4,4,3
12871.0,2,2,2
12872.0,1,2,2
12873.0,1,1,2
12875.0,2,2,2
12876.0,3,2,4
12877.0,3,4,3
12878.0,1,2,3
12879.0,3,3,2
12881.0,2,1,1
12882.0,4,2,3
12883.0,3,3,3
12884.0,4,1,2
12885.0,2,3,3
12886.0,1,2,3
12888.0,2,2,2
12890.0,3,1,2
12891.0,2,3,2
12893.0,2,1,1
12895.0,3,2,2
12897.0,3,2,1
12901.0,4,4,4
12902.0,1,1,1
12904.0,4,2,2
12906.0,4,3,4
12908.0,1,2,3
12909.0,3,3,4
12910.0,4,4,4
12912.0,4,3,4
12913.0,4,4,4
12915.0,2,2,2
12916.0,2,3,4
12917.0,1,1,2
12919.0,4,4,3
12920.0,4,1,1
12921.0,4,4,4
12922.0,1,1,2
12923.0,1,1,1
12924.0,4,3,3
12925.0,2,2,3
12928.0,4,4,4
12929.0,1,1,1
12930.0,2,2,2
12931.0,4,4,4
12933.0,3,3,2
12935.0,3,4,4
12936.0,4,3,3
12937.0,4,3,3
12938.0,3,1,1
12939.0,3,4,4
12940.0,3,2,3
12942.0,2,3,3
12944.0,1,2,2
12945.0,1,1,2
12947.0,2,4,3
12948.0,4,4,4
12949.0,2,4,4
12950.0,3,3,4
12951.0,1,4,3
12952.0,3,3,3
12953.0,4,1,2
12955.0,4,4,4
12956.0,1,1,1
12957.0,4,4,4
12962.0,2,2,1
12963.0,4,4,4
12965.0,3,1,3
12966.0,4,1,1
12967.0,1,2,3
12968.0,2,1,1
12970.0,1,3,2
12971.0,4,4,4
12974.0,1,1,1
12976.0,4,1,3
12977.0,1,1,1
12980.0,4,4,4
12981.0,3,2,2
12982.0,3,1,2
12984.0,4,1,1
12985.0,3,2,3
12987.0,2,2,2
12988.0,1,1,2
12989.0,4,4,4
12990.0,2,3,2
12991.0,3,2,2
12993.0,3,3,2
12994.0,3,3,3
12995.0,2,1,1
12997.0,4,3,3
12999.0,2,3,2
13000.0,2,3,2
13001.0,3,4,4
13002.0,1,1,1
13003.0,3,3,1
13004.0,4,4,4
13005.0,2,2,2
13006.0,3,1,1
13008.0,1,1,1
13011.0,1,1,1
13012.0,4,4,4
13013.0,4,4,4
13014.0,4,4,4
13015.0,3,4,4
13016.0,2,3,3
13017.0,1,1,1
13018.0,4,4,4
13021.0,3,4,4
13023.0,1,2,3
13026.0,2,4,3
13027.0,2,4,4
13028.0,3,2,2
13029.0,2,3,3
13030.0,4,2,3
13032.0,3,2,3
13033.0,1,1,1
13034.0,3,2,2
13035.0,2,2,3
13037.0,2,3,3
13038.0,2,3,3
13040.0,1,2,3
13043.0,3,1,2
13044.0,1,1,2
13045.0,1,1,1
13046.0,2,2,2
13047.0,3,4,4
13048.0,4,3,4
13049.0,1,2,2
13050.0,4,4,4
13052.0,3,1,2
13055.0,2,3,3
13058.0,4,3,1
13059.0,1,1,1
13060.0,1,1,2
13061.0,2,1,1
13062.0,1,1,2
13064.0,4,3,3
13065.0,1,1,1
13066.0,3,2,2
13067.0,2,1,1
13068.0,4,2,2
13069.0,4,4,4
13070.0,1,1,1
13072.0,1,1,1
13075.0,1,1,3
13077.0,2,3,3
13078.0,4,4,4
13079.0,4,4,1
13080.0,1,1,1
13081.0,4,4,4
13082.0,1,4,4
13083.0,2,2,1
13085.0,1,2,2
13089.0,4,4,4
13090.0,4,4,4
13091.0,3,1,2
13092.0,4,4,2
13093.0,2,4,4
13094.0,4,4,4
13095.0,2,1,1
13097.0,2,4,4
13098.0,4,4,4
13099.0,1,1,1
13101.0,1,1,1
13102.0,3,4,4
13103.0,3,1,1
13104.0,3,4,3
13106.0,2,1,1
13107.0,3,3,3
13108.0,1,1,2
13109.0,3,2,3
13110.0,3,4,3
13113.0,4,4,4
13115.0,4,3,4
13116.0,2,1,2
13117.0,4,4,3
13118.0,4,4,3
13120.0,1,1,1
13121.0,1,1,1
13122.0,1,2,3
13124.0,3,3,4
13126.0,3,4,4
13127.0,2,1,1
13130.0,1,1,1
13131.0,3,3,3
13132.0,1,1,1
13133.0,3,2,1
13134.0,2,3,4
13135.0,1,1,4
13136.0,3,4,4
13137.0,4,4,4
13138.0,3,4,3
13139.0,4,4,4
13140.0,2,3,2
13141.0,2,4,4
13142.0,4,1,1
13144.0,3,1,1
13145.0,3,3,2
13146.0,3,1,1
13147.0,4,3,3
13148.0,3,4,4
13149.0,4,3,4
13151.0,1,1,3
13153.0,1,1,2
13155.0,2,3,3
13157.0,4,3,4
13158.0,4,3,3
13159.0,3,3,3
13160.0,3,1,1
13161.0,1,1,1
13162.0,2,3,4
13165.0,3,2,3
13166.0,1,1,2
13167.0,4,3,3
13168.0,1,3,3
13169.0,2,2,3
13170.0,3,1,1
13171.0,4,3,2
13173.0,1,2,2
13174.0,4,3,4
13176.0,3,1,2
13177.0,1,1,1
13178.0,3,4,4
13182.0,3,1,1
13183.0,2,4,4
13184.0,4,4,4
13185.0,1,1,1
13186.0,3,3,3
13187.0,1,1,1
13188.0,4,1,1
13189.0,4,2,1
13192.0,1,2,3
13193.0,2,1,1
13194.0,2,1,1
13196.0,4,3,4
13198.0,4,4,4
13199.0,4,4,4
13200.0,4,3,3
13203.0,4,3,3
13207.0,4,2,1
13208.0,4,4,3
13209.0,2,4,4
13210.0,2,1,2
13211.0,4,3,3
13212.0,4,3,3
13213.0,3,4,3
13216.0,1,1,2
13217.0,2,3,2
13218.0,1,1,1
13220.0,2,3,3
13221.0,1,2,3
13223.0,1,2,1
13224.0,3,2,4
13225.0,3,4,4
13226.0,3,1,1
13227.0,1,1,1
13228.0,2,1,2
13229.0,1,1,1
13230.0,3,4,4
13232.0,4,4,3
13233.0,2,2,2
13235.0,3,1,3
13236.0,3,2,3
13238.0,4,3,3
13239.0,1,1,2
13240.0,1,3,2
13242.0,2,3,1
13243.0,1,1,2
13244.0,2,1,1
13245.0,3,1,2
13246.0,4,4,4
13247.0,4,3,2
13248.0,2,2,2
13249.0,2,3,3
13253.0,1,2,3
13255.0,4,2,2
13258.0,4,3,3
13259.0,2,1,1
13260.0,2,1,2
13261.0,1,2,3
13262.0,1,1,1
13263.0,4,4,4
13265.0,4,4,4
13266.0,4,4,4
13267.0,4,4,4
13268.0,4,4,4
13269.0,4,4,4
13270.0,1,1,2
13271.0,1,1,1
13272.0,3,2,1
13273.0,2,1,1
13276.0,2,2,2
13277.0,4,3,1
13278.0,3,1,2
13279.0,2,1,1
13280.0,2,3,3
13282.0,4,3,3
13283.0,3,2,1
13284.0,1,1,1
13285.0,3,3,4
13291.0,2,1,2
13292.0,1,2,2
13294.0,1,2,3
13295.0,1,1,1
13296.0,2,1,1
13297.0,3,3,4
13298.0,2,1,2
13299.0,1,1,1
13300.0,1,1,2
13301.0,2,3,2
13302.0,2,1,1
13304.0,1,1,1
13305.0,4,4,4
13307.0,3,1,1
13308.0,3,3,3
13309.0,4,4,3
13310.0,3,3,3
13311.0,4,2,2
13313.0,3,4,3
13314.0,2,3,3
13316.0,2,3,4
13317.0,1,4,4
13318.0,2,3,2
13319.0,4,4,4
13320.0,2,3,3
13321.0,2,2,2
13322.0,4,1,1
13323.0,4,4,3
13324.0,3,4,4
13325.0,2,1,3
13327.0,2,4,4
13328.0,1,1,3
13329.0,2,2,3
13330.0,2,3,3
13332.0,4,1,2
13334.0,2,3,4
13336.0,2,1,3
13338.0,1,1,2
13339.0,1,1,3
13340.0,3,4,4
13341.0,1,1,3
13343.0,1,1,2
13344.0,2,3,4
13345.0,1,1,2
13347.0,2,1,2
13348.0,1,1,1
13349.0,4,1,1
13350.0,4,2,3
13351.0,1,1,2
13352.0,3,1,2
13354.0,2,1,3
13355.0,2,1,3
13356.0,2,1,3
13357.0,1,1,2
13358.0,1,1,2
13359.0,2,1,2
13362.0,4,3,4
13363.0,4,2,3
13364.0,2,1,1
13365.0,1,2,4
13366.0,3,1,1
13368.0,1,2,2
13369.0,1,1,2
13370.0,1,1,3
13372.0,3,1,2
13373.0,3,3,4
13375.0,4,1,3
13376.0,1,3,3
13379.0,3,3,2
13381.0,3,4,4
13382.0,1,1,1
13384.0,3,4,4
13385.0,1,1,2
13388.0,2,2,3
13389.0,4,3,3
13390.0,2,1,2
13391.0,1,1,1
13394.0,3,4,4
13395.0,2,1,2
13396.0,3,2,3
13397.0,2,4,3
13398.0,1,1,2
13402.0,1,2,2
13403.0,4,1,1
13404.0,3,2,1
13405.0,2,3,2
13408.0,4,4,4
13410.0,3,4,3
13411.0,2,1,1
13414.0,2,3,3
13416.0,3,2,3
13417.0,1,2,2
13418.0,4,4,4
13419.0,2,1,1
13420.0,2,2,1
13421.0,3,2,4
13422.0,1,1,4
13425.0,2,3,3
13426.0,4,4,4
13427.0,4,3,2
13428.0,4,1,1
13429.0,4,3,3
13430.0,4,2,3
13431.0,4,2,3
13434.0,2,2,2
13435.0,3,4,4
13436.0,2,1,1
13437.0,4,4,4
13439.0,1,1,1
13441.0,2,1,1
13447.0,3,3,3
13448.0,4,4,4
13449.0,3,1,1
13450.0,3,4,4
13451.0,4,4,4
13452.0,1,2,2
13453.0,1,2,2
13455.0,3,2,3
13456.0,4,4,4
13458.0,4,4,4
13460.0,3,2,1
13461.0,2,3,3
13462.0,1,1,1
13464.0,4,1,3
13466.0,2,1,2
13467.0,4,2,3
13468.0,4,4,4
13470.0,2,2,1
13471.0,4,3,4
13473.0,3,2,2
13474.0,1,1,1
13475.0,1,3,3
13476.0,1,2,3
13477.0,4,4,3
13479.0,1,2,1
13481.0,3,4,4
13482.0,1,1,1
13483.0,1,1,1
13484.0,4,1,2
13485.0,1,1,2
13486.0,2,3,3
13487.0,3,3,2
13488.0,4,4,4
13489.0,2,3,2
13491.0,3,4,3
13492.0,2,3,3
13493.0,2,2,2
13494.0,1,1,2
13495.0,1,4,4
13496.0,4,2,2
13497.0,1,2,2
13499.0,4,4,3
13500.0,3,3,3
13501.0,1,1,3
13502.0,4,3,1
13503.0,2,1,1
13504.0,1,1,1
13505.0,2,3,4
13506.0,1,2,2
13507.0,2,3,4
13508.0,2,1,1
13509.0,3,4,3
13510.0,3,3,4
13512.0,1,1,1
13513.0,1,1,1
13514.0,2,1,1
13515.0,2,3,3
13516.0,4,3,3
13517.0,3,3,4
13518.0,2,1,2
13519.0,2,1,1
13520.0,4,4,4
13521.0,4,3,3
13522.0,2,1,1
13523.0,3,4,4
13524.0,3,4,3
13525.0,4,2,2
13527.0,3,4,4
13529.0,2,2,2
13531.0,1,2,2
13532.0,1,1,1
13533.0,2,3,1
13534.0,3,4,4
13536.0,4,4,4
13538.0,3,4,3
13539.0,2,3,2
13544.0,3,2,1
13546.0,4,3,2
13548.0,2,2,3
13549.0,4,4,3
13551.0,1,1,1
13552.0,2,4,4
13555.0,2,3,4
13557.0,3,2,2
13558.0,3,3,2
13560.0,1,1,1
13561.0,2,1,1
13562.0,2,3,4
13563.0,2,2,3
13564.0,2,3,4
13565.0,4,2,1
13566.0,3,2,3
13568.0,1,1,1
13569.0,4,2,2
13570.0,2,1,1
13571.0,4,4,4
13572.0,1,1,3
13573.0,3,2,1
13575.0,4,4,3
13576.0,4,4,4
13577.0,4,3,4
13579.0,4,2,2
13581.0,1,1,1
13583.0,2,1,3
13584.0,1,1,1
13587.0,2,1,3
13588.0,4,4,4
13589.0,4,2,2
13590.0,4,4,4
13591.0,1,3,3
13592.0,2,3,1
13593.0,2,4,4
13594.0,3,1,2
13596.0,4,2,3
13598.0,3,1,1
13599.0,4,4,4
13600.0,1,1,1
13601.0,4,2,3
13602.0,1,1,2
13603.0,3,1,1
13606.0,3,3,1
13607.0,3,1,3
13610.0,4,4,3
13611.0,3,3,3
13614.0,3,3,3
13615.0,1,1,2
13617.0,4,3,2
13618.0,1,1,1
13621.0,2,1,1
13623.0,2,4,3
13626.0,1,1,1
13627.0,3,4,3
13629.0,3,4,4
13630.0,2,4,4
13631.0,2,4,4
13632.0,3,4,4
13634.0,3,4,3
13635.0,1,1,3
13636.0,2,4,3
13637.0,3,3,3
13638.0,4,1,1
13639.0,2,1,3
13642.0,2,1,2
13643.0,2,3,2
13644.0,4,3,4
13645.0,3,1,1
13647.0,4,3,4
13649.0,1,2,2
13650.0,4,4,4
13651.0,3,2,1
13652.0,3,3,3
13654.0,3,4,4
13655.0,4,2,3
13656.0,1,2,2
13657.0,4,2,2
13658.0,4,4,4
13659.0,1,2,3
13662.0,3,3,3
13663.0,1,1,1
13666.0,3,3,1
13667.0,2,1,1
13668.0,4,4,4
13669.0,3,2,1
13670.0,2,1,2
13672.0,3,2,1
13673.0,4,2,2
13675.0,3,2,2
13678.0,3,1,1
13680.0,3,3,4
13681.0,4,3,3
13682.0,1,1,1
13684.0,1,1,1
13685.0,3,4,4
13686.0,2,1,1
13689.0,2,1,3
13690.0,3,1,1
13692.0,3,3,3
13694.0,3,4,4
13695.0,4,4,4
13697.0,1,1,1
13699.0,2,1,2
13700.0,4,4,4
13703.0,1,1,1
13704.0,4,4,4
13705.0,2,3,3
13706.0,2,1,2
13707.0,1,2,3
13708.0,1,1,1
13709.0,3,4,4
13710.0,2,1,1
13711.0,1,2,1
13712.0,2,1,1
13715.0,1,4,3
13716.0,1,1,1
13717.0,3,4,3
13718.0,2,2,1
13719.0,4,4,3
13720.0,2,3,3
13721.0,1,1,2
13722.0,2,3,4
13723.0,1,1,1
13725.0,3,4,4
13726.0,2,2,3
13727.0,3,2,2
13728.0,2,4,3
13730.0,2,2,3
13731.0,2,2,2
13732.0,3,1,2
13735.0,3,3,4
13736.0,1,2,3
13737.0,1,1,2
13739.0,4,1,1
13740.0,1,1,2
13741.0,2,3,2
13742.0,4,4,4
13743.0,4,4,3
13744.0,1,2,3
13745.0,1,1,1
13747.0,1,1,1
13748.0,2,4,3
13750.0,3,4,3
13751.0,1,1,1
13752.0,2,4,3
13753.0,1,1,3
13754.0,3,2,1
13755.0,4,4,4
13756.0,3,4,4
13758.0,4,4,4
13759.0,2,2,2
13760.0,3,2,1
13761.0,3,2,3
13762.0,1,1,1
13763.0,2,1,4
13764.0,2,3,3
13767.0,3,4,4
13769.0,2,4,4
13771.0,1,3,4
13772.0,1,3,3
13774.0,2,1,2
13777.0,3,4,4
13778.0,2,1,1
13780.0,1,2,2
13781.0,1,1,1
13782.0,4,4,3
13784.0,4,4,4
13786.0,1,1,1
13787.0,2,2,2
13790.0,1,1,2
13791.0,1,2,3
13792.0,1,2,1
13798.0,4,4,4
13799.0,2,2,3
13800.0,1,1,2
13801.0,1,1,2
13802.0,2,3,4
13803.0,1,1,1
13804.0,2,4,4
13805.0,3,2,3
13806.0,2,1,1
13807.0,1,1,1
13808.0,3,4,4
13809.0,2,1,1
13810.0,3,3,3
13811.0,2,3,3
13812.0,3,3,2
13813.0,3,3,3
13814.0,2,2,3
13815.0,3,3,4
13816.0,3,2,2
13817.0,3,2,2
13819.0,3,3,3
13821.0,2,2,2
13822.0,3,2,2
13823.0,4,2,3
13824.0,4,4,4
13826.0,1,1,1
13827.0,3,3,2
13828.0,3,1,1
13831.0,4,4,4
13832.0,4,1,1
13833.0,1,1,2
13835.0,3,3,3
13837.0,4,2,1
13838.0,2,3,3
13841.0,1,1,1
13842.0,4,4,4
13844.0,4,1,2
13845.0,1,1,2
13846.0,3,3,3
13848.0,2,3,3
13849.0,3,2,3
13850.0,1,1,3
13851.0,1,3,4
13853.0,3,1,3
13854.0,4,4,4
13856.0,2,3,2
13858.0,3,1,1
13859.0,1,1,1
13860.0,4,4,3
13862.0,4,4,4
13863.0,1,1,1
13865.0,4,3,2
13866.0,2,1,1
13867.0,2,3,3
13868.0,1,2,4
13869.0,2,3,4
13870.0,3,4,4
13871.0,3,4,4
13873.0,4,3,2
13874.0,1,1,2
13875.0,3,4,4
13876.0,2,1,1
13877.0,2,1,1
13878.0,3,1,3
13880.0,4,4,4
13881.0,4,4,4
13882.0,4,4,3
13883.0,4,4,4
13884.0,3,4,3
13885.0,1,2,2
13886.0,2,1,1
13887.0,1,1,2
13888.0,4,2,2
13889.0,2,1,2
13890.0,3,4,4
13892.0,3,3,2
13893.0,1,1,3
13894.0,3,3,2
13895.0,3,3,4
13897.0,3,1,2
13898.0,1,1,1
13899.0,4,2,2
13900.0,2,3,3
13901.0,2,4,4
13904.0,1,2,2
13908.0,2,3,4
13911.0,3,4,4
13914.0,4,2,2
13917.0,3,2,1
13918.0,3,2,3
13919.0,3,2,2
13922.0,1,1,1
13923.0,3,1,2
13924.0,4,4,4
13925.0,2,3,3
13926.0,3,1,1
13927.0,2,1,2
13928.0,4,3,2
13929.0,1,2,3
13930.0,3,2,2
13931.0,1,2,3
13932.0,1,1,1
13933.0,2,2,2
13934.0,1,1,3
13936.0,1,1,2
13937.0,1,1,1
13938.0,1,1,1
13939.0,3,3,2
13940.0,4,3,3
13941.0,4,4,4
13946.0,2,3,2
13947.0,1,1,1
13948.0,1,1,1
13949.0,3,4,4
13950.0,4,3,3
13951.0,1,3,2
13952.0,1,2,4
13953.0,3,4,4
13954.0,2,2,2
13955.0,2,2,2
13956.0,3,4,3
13959.0,2,3,2
13960.0,4,2,1
13962.0,4,2,1
13963.0,1,3,2
13967.0,2,1,1
13969.0,4,4,4
13971.0,4,4,4
13972.0,2,2,1
13973.0,1,1,1
13974.0,3,1,2
13975.0,2,4,4
13976.0,1,1,2
13978.0,4,2,1
13979.0,2,1,3
13980.0,3,1,1
13982.0,3,3,4
13983.0,4,4,4
13984.0,3,4,3
13985.0,4,4,4
13986.0,4,1,2
13988.0,4,4,4
13989.0,1,2,3
13990.0,2,1,2
13991.0,4,4,3
13992.0,2,1,1
13993.0,3,4,4
13994.0,3,4,4
13995.0,4,4,3
13999.0,4,4,4
14000.0,4,1,2
14001.0,3,3,4
14002.0,2,2,2
14004.0,3,4,4
14005.0,4,4,4
14006.0,4,3,3
14009.0,1,2,3
14012.0,2,1,2
14013.0,2,3,2
14014.0,2,1,2
14015.0,3,1,3
14016.0,1,3,4
14019.0,3,3,3
14020.0,4,2,2
14021.0,4,3,2
14022.0,1,1,2
14023.0,1,2,2
14024.0,2,2,2
14027.0,2,1,1
14029.0,2,2,2
14030.0,4,4,4
14031.0,4,4,4
14032.0,4,4,4
14034.0,3,3,2
14035.0,3,4,3
14036.0,1,1,2
14037.0,1,2,1
14038.0,2,3,3
14039.0,1,1,1
14040.0,4,4,4
14041.0,1,1,1
14044.0,3,3,2
14045.0,2,3,3
14046.0,1,1,1
14047.0,2,4,3
14048.0,2,1,2
14049.0,4,3,4
14050.0,2,2,3
14051.0,4,4,4
14052.0,4,1,1
14053.0,2,2,1
14054.0,1,1,1
14055.0,2,1,3
14056.0,4,4,4
14057.0,3,4,4
14059.0,1,1,1
14060.0,3,4,4
14062.0,4,4,4
14064.0,4,4,3
14066.0,1,1,1
14067.0,2,2,2
